class	name	item_id	damage	damage_type	melee	width	height	delay	animation	style	knockback	sell_price	rarity	sound	auto_swing	scale	recipe	station
NightsEdgePlusOne	Night's Edge +1	273	53	melee	true	40	40	23	27	1	4.95	16200	4	1	false	1.15	"1:NightsEdge,1:BloodButchererPlusOne,1:FieryGreatswordPlusOne,1:BladeofGrassPlusOne,1:LightsBanePlusOne"	DemonAltar
MythrilSwordPlusOne	Mythril Sword +1	484	55	melee	true	40	40	22	26	1	6.6	31050	5	1	true	1.15	"1:MythrilSword,50:MythrilBar"	MythrilAnvil
OrichalcumSwordPlusOne	Orichalcum Sword +1	1192	59	melee	true	40	40	22	26	1	6.6	37950	5	1	true	1.17	"1:OrichalcumSword,60:OrichalcumBar"	MythrilAnvil
ChlorophyteSaberPlusOne	Chlorophyte Saber +1	1227	60	melee	true	40	40	13	16	1	4.4	82800	8	1	true	1	"1:ChlorophyteSaber,60:ChlorophyteBar"	MythrilAnvil
AdamantiteSwordPlusOne	Adamantite Sword +1	482	63	melee	true	40	40	23	27	1	6.6	41400	5	1	true	1.2	"1:AdamantiteSword,60:AdamantiteBar"	MythrilAnvil
TitaniumSwordPlusOne	Titanium Sword +1	1199	65	melee	true	40	40	22	26	1	6.6	48300	5	1	true	1.2	"1:TitaniumSword,65:TitaniumBar"	MythrilAnvil
ExcaliburPlusOne	Excalibur +1	368	72	melee	true	40	40	21	25	1	4.95	69000	6	1	true	1.15	"1:Excalibur,60:HallowedBar"	MythrilAnvil
TrueExcaliburPlusOne	True Excalibur +1	674	83	melee	true	40	40	13	16	1	4.95	150000	9	1	false	1.05	"1:TrueExcalibur,1:ExcaliburPlusOne,1:BrokenHeroSword"	MythrilAnvil
ChlorophyteClaymorePlusOne	Chlorophyte Claymore +1	1226	94	melee	true	40	40	22	26	1	6.6	82800	8	1	false	1.25	"1:ChlorophyteClaymore,60:ChlorophyteBar"	MythrilAnvil
TrueNightsEdgePlusOne	True Night's Edge +1	675	113	melee	true	40	40	22	26	1	5.23	150000	9	1	false	1.15	"1:TrueNightsEdge,1:NightsEdgePlusOne,1:BrokenHeroSword"	MythrilAnvil
TerraBladePlusOne	Terra Blade +1	757	119	melee	true	30	30	13	16	1	7.15	300000	9	1	true	1.1	"1:TerraBlade,1:TrueExcaliburPlusOne,1:TrueNightsEdgePlusOne"	MythrilAnvil
